airline.name,departure.airport,arrival.airport,day_of_week,month,departure_hour,scheduled_duration,is_delayed
187,213,125,4,5,1,95.0,0
208,78,33,3,4,20,144.0,0
208,99,149,3,4,18,287.0,0
208,312,375,3,4,19,79.0,0
208,274,109,3,4,19,96.0,0
208,185,375,3,4,19,121.0,0
208,152,255,3,4,18,123.0,0
208,312,255,3,4,18,106.0,0
208,78,311,3,4,17,203.0,0
208,23,57,3,4,17,72.0,0
208,141,304,3,4,16,70.0,0
208,141,302,3,4,16,69.0,0
208,78,288,3,4,16,151.0,0
208,99,382,3,4,15,170.0,0
208,334,255,3,4,17,111.0,0
208,352,57,3,4,17,88.0,0
208,348,57,3,4,15,78.0,0
208,388,57,3,4,16,16.0,0
208,78,139,3,4,16,151.0,0
208,78,153,3,4,15,119.0,0
208,78,82,3,4,15,74.0,0
208,78,242,3,4,15,130.0,0
208,78,69,3,4,15,68.0,0
208,99,376,3,4,14,172.0,0
208,28,57,3,4,15,77.0,0
208,325,57,3,4,15,80.0,0
53,231,263,3,4,21,30.0,0
208,99,69,3,4,13,204.0,0
208,99,107,3,4,13,217.0,0
208,142,57,3,4,15,14.0,0
208,149,57,3,4,14,72.0,0
208,185,255,3,4,15,111.0,0
208,141,382,3,4,14,100.0,0
208,388,57,3,4,15,15.0,0
53,313,192,3,4,20,30.0,0
208,169,57,3,4,14,131.0,0
208,152,57,3,4,14,78.0,0
208,83,255,3,4,14,129.0,0
208,273,57,3,4,13,125.0,0
208,209,57,3,4,14,125.0,0
208,348,57,3,4,13,78.0,0
208,78,382,3,4,14,159.0,0
208,78,295,3,4,13,74.0,0
208,78,345,3,4,13,182.0,0
3,90,112,3,4,19,95.0,0
208,28,57,3,4,13,85.0,0
208,405,57,3,4,14,83.0,0
208,305,285,3,4,15,92.0,0
208,239,57,3,4,14,85.0,0
208,9,57,3,4,14,71.0,0
208,150,57,3,4,13,71.0,0
205,282,203,3,4,17,85.0,0
208,78,288,3,4,12,151.0,0
208,78,285,3,4,12,161.0,0
208,205,57,3,4,13,110.0,0
208,446,57,3,4,12,140.0,0
208,350,57,3,4,12,206.0,0
208,23,57,3,4,14,72.0,0
208,116,57,3,4,12,86.0,0
208,205,255,3,4,12,241.0,0
227,423,286,3,4,7,82.0,0
208,336,255,3,4,12,92.0,0
208,336,109,3,4,12,146.0,0
208,390,57,3,4,11,110.0,0
205,346,271,3,4,16,155.0,0
205,357,271,3,4,14,235.0,0
205,323,230,3,4,19,145.0,0
208,334,57,3,4,12,86.0,0
120,308,337,3,4,19,135.0,0
208,142,57,3,4,12,17.0,0
208,86,57,3,4,11,90.0,0
208,359,297,3,4,9,81.0,0
208,350,57,3,4,9,206.0,0
95,65,269,3,4,17,125.0,0
208,325,57,3,4,10,85.0,0
115,419,15,3,4,16,30.0,0
208,292,255,3,4,11,123.0,0
208,169,57,3,4,10,136.0,0
208,312,57,3,4,12,102.0,0
208,78,169,3,4,10,264.0,0
208,190,57,3,4,11,30.0,0
208,28,57,3,4,10,77.0,0
208,359,304,3,4,8,346.0,0
208,359,303,3,4,8,188.0,0
168,121,142,3,4,9,65.0,0
182,73,28,3,4,14,165.0,0
208,205,57,3,4,9,110.0,0
208,190,375,3,4,10,93.0,0
208,458,57,3,4,10,62.0,0
208,405,57,3,4,10,80.0,0
54,112,132,3,4,6,125.0,0
128,453,60,3,4,14,130.0,0
127,453,60,3,4,14,130.0,0
208,251,57,3,4,10,69.0,0
208,70,97,3,4,9,75.0,0
183,70,97,3,4,9,75.0,0
34,70,97,3,4,9,75.0,0
220,124,243,3,4,8,60.0,1
19,37,317,3,4,14,145.0,0
88,334,231,3,4,4,77.0,0
208,288,57,3,4,10,20.0,0
116,188,125,3,4,16,80.0,0
208,56,375,3,4,10,80.0,0
208,427,57,3,4,7,345.0,0
208,428,57,3,4,9,127.0,0
115,202,15,3,4,16,75.0,1
208,100,57,3,4,10,94.0,0
208,49,57,3,4,8,281.0,0
208,150,57,3,4,10,74.0,0
108,44,25,3,4,9,70.0,0
34,137,100,3,4,16,45.0,0
227,153,53,3,4,4,36.0,0
4,192,54,3,4,16,70.0,0
208,305,285,3,4,10,94.0,0
208,252,109,3,4,9,103.0,0
208,141,233,3,4,9,106.0,0
208,18,209,3,4,7,121.0,0
222,73,317,3,4,13,150.0,0
75,129,183,3,4,8,60.0,0
19,73,138,3,4,13,175.0,0
219,355,372,3,4,9,35.0,0
10,381,110,3,4,9,81.0,0
25,289,373,3,4,8,60.0,1
136,452,377,3,4,14,70.0,0
141,168,97,3,4,8,155.0,0
39,168,52,3,4,8,135.0,0
168,168,52,3,4,8,135.0,0
208,281,305,3,4,8,56.0,0
116,294,125,3,4,16,110.0,0
116,175,125,3,4,16,90.0,0
116,188,125,3,4,15,80.0,1
227,459,303,3,4,1,111.0,0
206,126,89,3,4,10,75.0,0
202,167,76,3,4,14,90.0,0
167,172,37,3,4,16,135.0,0
88,271,32,3,4,2,66.0,0
105,296,266,3,4,16,55.0,0
52,221,338,3,4,14,120.0,0
67,73,50,3,4,15,115.0,0
66,73,50,3,4,15,115.0,0
222,73,50,3,4,15,115.0,0
68,73,50,3,4,15,115.0,0
167,391,344,3,4,17,60.0,0
167,63,344,3,4,17,60.0,1
167,179,44,3,4,17,105.0,0
155,134,313,3,4,9,70.0,0
208,134,313,3,4,9,70.0,0
17,134,313,3,4,9,70.0,0
77,2,284,3,4,0,205.0,0
68,456,358,3,4,15,90.0,0
123,263,251,3,4,16,95.0,0
204,394,52,3,4,7,130.0,1
141,70,98,3,4,9,90.0,1
1,70,98,3,4,9,90.0,1
22,70,313,3,4,8,80.0,1
111,70,313,3,4,8,80.0,1
214,70,313,3,4,8,80.0,1
66,70,313,3,4,8,80.0,1
129,70,313,3,4,8,80.0,1
97,70,313,3,4,8,80.0,1
77,70,313,3,4,8,80.0,1
65,70,313,3,4,8,80.0,1
20,70,313,3,4,8,80.0,1
61,364,216,3,4,15,65.0,0
88,305,375,3,4,3,76.0,0
167,403,48,3,4,17,60.0,0
167,63,344,3,4,17,60.0,0
181,73,120,3,4,14,150.0,0
167,444,2,3,4,17,55.0,0
227,171,336,3,4,0,107.0,0
228,224,183,3,4,7,40.0,0
98,42,260,3,4,8,75.0,0
62,310,183,3,4,8,30.0,1
116,188,125,3,4,16,80.0,0
116,215,125,3,4,16,90.0,0
167,275,225,3,4,17,75.0,1
39,168,313,3,4,8,140.0,0
146,168,313,3,4,8,140.0,0
121,168,313,3,4,8,140.0,0
168,168,313,3,4,8,140.0,0
116,168,313,3,4,8,140.0,0
170,433,128,3,4,9,70.0,1
167,255,363,3,4,17,60.0,0
78,407,315,3,4,15,65.0,0
191,395,17,3,4,7,255.0,0
202,167,76,3,4,13,85.0,1
116,213,125,3,4,15,100.0,0
3,146,79,3,4,8,75.0,0
208,348,57,3,4,8,77.0,0
100,206,138,3,4,15,95.0,0
19,73,151,3,4,14,145.0,0
203,73,151,3,4,14,145.0,0
67,73,151,3,4,14,145.0,0
181,73,151,3,4,14,145.0,0
228,219,353,3,4,6,60.0,1
212,140,244,3,4,9,81.0,0
208,134,393,3,4,9,55.0,0
194,134,393,3,4,9,55.0,0
17,134,393,3,4,9,55.0,0
225,272,158,3,4,4,150.0,0
96,379,3,3,4,1,180.0,0
40,274,210,3,4,2,74.0,0
115,321,360,3,4,15,25.0,0
219,229,31,3,4,9,84.0,0
116,317,125,3,4,16,110.0,0
156,359,297,3,4,0,63.0,0
116,79,125,3,4,16,105.0,0
19,414,320,3,4,12,230.0,0
207,361,197,3,4,0,114.0,0
61,133,75,3,4,15,80.0,0
161,84,344,3,4,16,97.0,0
186,441,253,3,4,19,50.0,0
172,363,321,3,4,9,85.0,0
34,217,101,3,4,16,95.0,0
116,137,125,3,4,16,110.0,0
115,14,172,3,4,15,20.0,0
219,240,34,3,4,9,28.0,0
116,161,147,3,4,16,65.0,0
208,46,57,3,4,10,37.0,0
58,178,6,3,4,3,49.0,0
63,351,287,3,4,3,40.0,0
222,80,189,3,4,15,85.0,0
182,80,189,3,4,15,85.0,0
67,80,189,3,4,15,85.0,0
140,80,189,3,4,15,85.0,0
68,80,189,3,4,15,85.0,0
53,136,115,3,4,8,40.0,0
185,55,292,3,4,8,85.0,0
214,70,393,3,4,8,75.0,0
14,70,393,3,4,8,75.0,0
52,221,339,3,4,14,65.0,0
116,295,125,3,4,14,150.0,1
116,161,18,3,4,16,70.0,0
116,161,361,3,4,15,75.0,0
172,404,321,3,4,9,115.0,0
105,158,266,3,4,15,40.0,0
127,64,189,3,4,14,65.0,1
167,173,37,3,4,16,55.0,0
91,97,175,3,4,10,20.0,0
167,20,344,3,4,17,75.0,0
167,340,344,3,4,16,75.0,0
12,51,173,3,4,8,205.0,0
157,81,257,3,4,15,70.0,0
208,134,98,3,4,9,55.0,0
