flight_date,flight_status,live,departure.airport,departure.timezone,departure.iata,departure.icao,departure.terminal,departure.gate,departure.delay,departure.scheduled,departure.estimated,departure.actual,departure.estimated_runway,departure.actual_runway,arrival.airport,arrival.timezone,arrival.iata,arrival.icao,arrival.terminal,arrival.gate,arrival.baggage,arrival.scheduled,arrival.delay,arrival.estimated,arrival.actual,arrival.estimated_runway,arrival.actual_runway,airline.name,airline.iata,airline.icao,flight.number,flight.iata,flight.icao,flight.codeshared,aircraft.registration,aircraft.iata,aircraft.icao,aircraft.icao24,flight.codeshared.airline_name,flight.codeshared.airline_iata,flight.codeshared.airline_icao,flight.codeshared.flight_number,flight.codeshared.flight_iata,flight.codeshared.flight_icao
2026-05-01,landed,,Kita Kyushu,Asia/Tokyo,KKJ,RJFR,,,,2026-05-01T01:35:00+00:00,2026-05-01T01:35:00+00:00,,,,Haneda Airport,Asia/Tokyo,HND,RJTT,,,,2026-05-01T03:10:00+00:00,,,,,,Spring Japan,IJ,SJO,444,IJ444,IJ444,,XXB,321,321,XXC,,,,,,
2026-05-01,landed,,,,QBS,YSKR,,,11.0,2026-05-01T08:20:00+00:00,2026-05-01T08:20:00+00:00,2026-04-30T08:19:00+00:00,2026-04-30T08:19:00+00:00,2026-04-30T08:19:00+00:00,Cairns,Australia/Brisbane,CNS,YBCS,2,,,2026-04-30T09:56:00+00:00,11.0,2026-04-30T10:06:00+00:00,2026-04-30T10:07:00+00:00,2026-04-30T10:07:00+00:00,2026-04-30T10:07:00+00:00,Skytrans Australia,QN,SKP,736,QN736,SKP736,,,,,7C5346,,,,,,
2026-04-30,landed,,Chicago O'hare International,America/Chicago,ORD,KORD,2,E1,,2026-04-30T20:10:00+00:00,2026-04-30T20:10:00+00:00,,,,Bishop International Airport,America/Detroit,FNT,KFNT,,,,2026-04-30T22:34:00+00:00,,,,,,United Airlines,OO,SKW,5350,UA5350,SKW5350,,N873AS,CRJ2,CRJ2,AC018C,,,,,,
2026-04-30,landed,,Denver International,America/Denver,DEN,KDEN,,,,2026-04-30T18:10:00+00:00,2026-04-30T18:10:00+00:00,,,,James Cox Dayton International,America/New_York,DAY,KDAY,,,,2026-04-30T22:57:00+00:00,,,,,,United Airlines,UA,UAL,2200,UA2200,UAL2200,,N849UA,A319,A319,ABA30B,,,,,,
2026-04-30,landed,,Norfolk International Airport,America/New_York,ORF,KORF,,B30,,2026-04-30T19:46:00+00:00,2026-04-30T19:46:00+00:00,,,,Washington Dulles International,America/New_York,IAD,KIAD,,A3B,3,2026-04-30T21:05:00+00:00,,,,,,United Airlines,UA,UAL,6110,UA6110,ASH6110,,N88330,E75L,E75L,AC2BD4,,,,,,
2026-04-30,landed,,Midland International,America/Chicago,MAF,KMAF,,2,,2026-04-30T19:00:00+00:00,2026-04-30T19:00:00+00:00,,,,George Bush Intercontinental,America/Chicago,IAH,KIAH,B,4,C1,2026-04-30T20:36:00+00:00,,,,,,United Airlines,UA,UAL,4017,UA4017,ASH4017,,N85340,E75L,E75L,ABB57A,,,,,,
2026-04-30,landed,,International Jetport,America/New_York,PWM,KPWM,,2,,2026-04-30T19:10:00+00:00,2026-04-30T19:10:00+00:00,,,,Washington Dulles International,America/New_York,IAD,KIAD,,A2B,3,2026-04-30T21:11:00+00:00,,,,,,United Airlines,UA,UAL,3582,UA3582,RPA3582,,N722YX,E75L,E75L,A9AD36,,,,,,
2026-04-30,landed,,Greenville Spartanburg International Airport,America/New_York,GSP,KGSP,,A8,,2026-04-30T18:27:00+00:00,2026-04-30T18:27:00+00:00,,,,Newark Liberty International,America/New_York,EWR,KEWR,C,109,8,2026-04-30T20:30:00+00:00,,,,,,United Airlines,UA,UAL,3569,UA3569,RPA3569,,N747YX,E75L,E75L,AA0EC7,,,,,,
2026-04-30,landed,,Norfolk International Airport,America/New_York,ORF,KORF,,B30,,2026-04-30T18:14:00+00:00,2026-04-30T18:14:00+00:00,,,,Newark Liberty International,America/New_York,EWR,KEWR,C,105,8,2026-04-30T20:00:00+00:00,,,,,,United Airlines,UA,UAL,3654,UA3654,RPA3654,,N769YX,E75L,E75L,AA6533,,,,,,
2026-04-30,landed,,Chicago O'hare International,America/Chicago,ORD,KORD,2,F9,,2026-04-30T17:50:00+00:00,2026-04-30T17:50:00+00:00,,,,Savannah/Hilton Head,America/New_York,SAV,KSAV,,19,,2026-04-30T21:13:00+00:00,,,,,,United Airlines,UA,UAL,5304,UA5304,SKW5304,,N87367,E75L,E75L,AC04C5,,,,,,
2026-04-30,landed,,Asheville Regional Airport,America/New_York,AVL,KAVL,,,,2026-04-30T17:49:00+00:00,2026-04-30T17:49:00+00:00,,,,Chicago O'hare International,America/Chicago,ORD,KORD,2,F22,2,2026-04-30T19:01:00+00:00,,,,,,United Airlines,UA,UAL,4165,UA4165,GJS4165,,N542GJ,CRJ7,CRJ7,A6DFF9,,,,,,
2026-04-30,landed,,George Bush Intercontinental,America/Chicago,IAH,KIAH,B,16,,2026-04-30T16:35:00+00:00,2026-04-30T16:35:00+00:00,,,,San Antonio International,America/Chicago,SAT,KSAT,B,5,,2026-04-30T17:45:00+00:00,,,,,,United Airlines,UA,UAL,6252,UA6252,ASH6252,,N87337,E75L,E75L,AC045C,,,,,,
2026-04-30,landed,,George Bush Intercontinental,America/Chicago,IAH,KIAH,C,33,,2026-04-30T16:25:00+00:00,2026-04-30T16:25:00+00:00,,,,Ryan,America/Chicago,BTR,KBTR,,,,2026-04-30T17:34:00+00:00,,,,,,United Airlines,UA,UAL,4055,UA4055,ASH4055,,N86312,E75L,E75L,ABDC92,,,,,,
2026-04-30,landed,,Chicago O'hare International,America/Chicago,ORD,KORD,1,C1,,2026-04-30T16:23:00+00:00,2026-04-30T16:23:00+00:00,,,,Port Columbus International,America/New_York,CMH,KCMH,,B29,2,2026-04-30T18:54:00+00:00,,,,,,United Airlines,UA,UAL,3574,UA3574,RPA3574,,N744YX,E75L,E75L,AA03A2,,,,,,
